Countries,Type,Amount 
Suriname,Balance2016,-1167
Seychelles,Balance2020,-1152
Bhutan,Balance2016,-1146
Bhutan,Balance2017,-1143
Democratic Republic of the Congo,Balance2019,-1137
Faroe Islands,Balance2016,-1137
Greenland,Balance2017,-1136
Slovenia,Balance2018,-1109
Faroe Islands,Balance2017,-1102
Belize,Balance2019,-1066
Grenada,Balance2018,-1032
Grenada,Balance2019,-1026
British Virgin Islands,Balance2016,-1015
Cabo Verde,Balance2020,-1009
Grenada,Balance2020,-1004
Cabo Verde,Balance2016,-1003
Fiji,Balance2020,-934
Greenland,Balance2016,-919
Anguilla,Balance2016,-906
Niger,Balance2019,-906
Democratic Republic of the Congo,Balance2020,-887
Belize,Balance2016,-881
Niger,Balance2020,-881
"Bonaire, Sint Eustatius and Saba",Balance2018,-863
Sierra Leone,Balance2020,-845
British Virgin Islands,Balance2017,-839
British Virgin Islands,Balance2018,-828
Saint Kitts and Nevis,Balance2016,-817
"Bonaire, Sint Eustatius and Saba",Balance2019,-734
Saint Vincent and the Grenadines,Balance2016,-726
Saint Kitts and Nevis,Balance2017,-714
Saint Vincent and the Grenadines,Balance2018,-709
"Bonaire, Sint Eustatius and Saba",Balance2017,-703
Belize,Balance2017,-698
Saint Vincent and the Grenadines,Balance2019,-672
Saint Vincent and the Grenadines,Balance2017,-624
South Sudan,Balance2016,-614
Belize,Balance2020,-602
Samoa,Balance2020,-600
Sudan (before 2012),Balance2020,-581
Liberia,Balance2017,-574
Anguilla,Balance2017,-561
Chad,Balance2020,-560
Belize,Balance2018,-532
Saint Lucia,Balance2020,-467
Northern Mariana Islands,Balance2018,-459
Uganda,Balance2020,-455
Antigua and Barbuda,Balance2020,-453
Turks and Caicos Islands,Balance2019,-432
Turks and Caicos Islands,Balance2016,-409
Cook Islands,Balance2018,-382
Saint Kitts and Nevis,Balance2019,-379
Turks and Caicos Islands,Balance2018,-374
Solomon Islands,Balance2017,-370
Kiribati,Balance2020,-361
Palau,Balance2016,-350
Sint Maarten (Dutch part),Balance2018,-349
Cook Islands,Balance2016,-347
South Sudan,Balance2019,-343
Anguilla,Balance2018,-326
Palau,Balance2017,-325
Northern Mariana Islands,Balance2016,-310
Palau,Balance2018,-300
Solomon Islands,Balance2018,-300
Vanuatu,Balance2016,-290
"Bonaire, Sint Eustatius and Saba",Balance2016,-289
Demo. Rep. Korea,Balance2020,-287
Dominica,Balance2019,-280
Turks and Caicos Islands,Balance2017,-273
Liberia,Balance2020,-270
Solomon Islands,Balance2016,-259
Vanuatu,Balance2019,-259
Dominica,Balance2016,-254
Gambia,Balance2020,-235
Wallis and Futuna Islands,Balance2019,-218
South Sudan,Balance2017,-218
Anguilla,Balance2019,-213
Vanuatu,Balance2020,-212
Northern Mariana Islands,Balance2017,-206
